pango,R,seq_volume
BA.2,-45.225006103515625,1140224
BA.2.1,-45.129150390625,14224
BA.2.10,-52.354190826416016,56725
BA.2.10.1,-49.325843811035156,8166
BA.2.10.2,-43.49535369873047,1785
BA.2.11,-36.1848258972168,1026
BA.2.12,-33.23695373535156,269
BA.2.12.1,-26.944507598876953,253167
BA.2.12.2,-36.01664352416992,1374
BA.2.13,-29.284690856933594,4757
BA.2.13.1,-17.884817123413086,1164
BA.2.14,-38.87242889404297,1598
BA.2.15,-38.23128890991211,269
BA.2.16,-49.85079574584961,499
BA.2.17,-47.558494567871094,413
BA.2.18,-29.030471801757812,12350
BA.2.19,-52.51972579956055,581
BA.2.2,-41.679893493652344,8836
BA.2.2.1,-29.88871192932129,1094
BA.2.20,-42.400177001953125,1605
BA.2.21,-41.11153793334961,2112
BA.2.22,-44.425140380859375,7467
BA.2.23,-38.885093688964844,16310
BA.2.23.1,-34.89691925048828,1053
BA.2.24,-41.552581787109375,8613
BA.2.25,-45.4075813293457,738
BA.2.26,-47.26750564575195,1394
BA.2.27,-46.16377258300781,352
BA.2.29,-43.18631362915039,8971
BA.2.3,-45.74660873413086,101103
BA.2.3.1,-45.8360595703125,12047
BA.2.3.10,-42.17804718017578,840
BA.2.3.11,-45.65592575073242,2500
BA.2.3.12,-43.95844650268555,1326
BA.2.3.13,-45.199867248535156,6834
BA.2.3.14,-42.72465133666992,1158
BA.2.3.15,-42.6514892578125,1616
BA.2.3.16,-44.69697189331055,423
BA.2.3.17,-47.88733673095703,2090
BA.2.3.18,-42.347381591796875,717
BA.2.3.2,-42.979530334472656,2302
BA.2.3.20,20.05535888671875,4062
BA.2.3.4,-46.08891677856445,1040
BA.2.3.5,-45.548580169677734,380
BA.2.3.6,-38.164268493652344,1330
BA.2.3.7,-37.23200988769531,2156
BA.2.3.8,-45.33317947387695,286
BA.2.3.9,-42.85518264770508,798
BA.2.30,-41.109527587890625,298
BA.2.31,-44.4217643737793,2738
BA.2.31.1,-29.57155990600586,281
BA.2.32,-44.23561477661133,1452
BA.2.33,-50.65011215209961,644
BA.2.34,-44.3267936706543,464
BA.2.35,-28.368772506713867,510
BA.2.36,-32.98141098022461,9919
BA.2.37,-46.802146911621094,6363
BA.2.38,-27.267051696777344,5803
BA.2.38.1,-4.924579620361328,920
BA.2.38.2,-3.742760419845581,524
BA.2.38.3,-12.609164237976074,242
BA.2.38.4,-13.495017051696777,302
BA.2.39,-38.92237091064453,688
BA.2.4,-47.35610580444336,470
BA.2.40,-51.01890182495117,1031
BA.2.40.1,-26.391815185546875,2578
BA.2.41,-35.14971923828125,1517
BA.2.42,-31.019977569580078,1328
BA.2.43,-33.40806579589844,524
BA.2.44,-28.72064781188965,1006
BA.2.45,-39.939208984375,1056
BA.2.47,-35.61014175415039,1258
BA.2.48,-29.99799346923828,2200
BA.2.49,-40.5877799987793,1415
BA.2.5,-44.85408020019531,3495
BA.2.50,-33.72336959838867,770
BA.2.51,-44.45463562011719,548
BA.2.52,-24.708091735839844,1453
BA.2.53,-29.31167984008789,577
BA.2.54,-27.543733596801758,1054
BA.2.55,-30.804597854614258,265
BA.2.56,-26.185047149658203,6412
BA.2.57,-42.57947540283203,542
BA.2.58,-40.59663772583008,439
BA.2.59,-34.5621452331543,354
BA.2.6,-44.23756408691406,2829
BA.2.60,-41.280277252197266,221
BA.2.61,-23.04513168334961,486
BA.2.62,-41.7747917175293,680
BA.2.63,-41.14165115356445,244
BA.2.64,-44.176822662353516,621
BA.2.65,-39.034385681152344,4653
BA.2.66,-41.57857131958008,367
BA.2.67,-42.442726135253906,332
BA.2.68,-44.77229309082031,1528
BA.2.7,-49.6363639831543,4389
BA.2.70,-33.86408996582031,452
BA.2.71,-27.69457244873047,785
BA.2.72,-33.805816650390625,987
BA.2.73,-40.15302658081055,617
BA.2.74,-13.55270767211914,1524
BA.2.75,1.9318894147872925,2849
BA.2.75.1,8.477316856384277,2231
BA.2.75.10,3.170513391494751,260
BA.2.75.2,15.487994194030762,4627
BA.2.75.3,4.146358013153076,908
BA.2.75.4,12.730816841125488,242
BA.2.75.5,14.453642845153809,1754
BA.2.76,-9.315302848815918,4986
BA.2.78,-25.776582717895508,230
BA.2.79,-12.908952713012695,227
BA.2.8,-42.794898986816406,6896
BA.2.81,-24.274906158447266,610
BA.2.85,-37.8656005859375,380
BA.2.9,-44.68006134033203,200406
BA.2.9.1,-33.38157272338867,814
BA.2.9.2,-50.07966995239258,1024
BA.2.9.3,-30.30141830444336,3797
BA.2.9.4,-33.7953987121582,738
BA.2.9.5,-43.0207405090332,2272
BA.2.9.6,-27.617589950561523,463
BA.2.9.7,-28.691537857055664,1723
BA.4,-7.951699733734131,30168
BA.4.1,-7.921611309051514,59768
BA.4.1.1,-10.126280784606934,2644
BA.4.1.10,13.133044242858887,335
BA.4.1.2,-29.678756713867188,247
BA.4.1.3,-3.6874191761016846,427
BA.4.1.4,-5.622970104217529,888
BA.4.1.5,-2.0882582664489746,597
BA.4.1.6,-9.585295677185059,1474
BA.4.1.7,-19.019729614257812,348
BA.4.1.8,8.474160194396973,2020
BA.4.1.9,9.10433578491211,499
BA.4.2,-7.206366062164307,4688
BA.4.3,-8.124591827392578,3120
BA.4.4,-7.406088352203369,7451
BA.4.5,-8.003100395202637,1000
BA.4.6,8.55565357208252,49863
BA.4.6.1,12.110291481018066,998
BA.4.6.2,14.235039710998535,297
BA.4.6.3,26.466012954711914,456
BA.4.6.4,8.601033210754395,1424
BA.4.6.5,8.186565399169922,4019
BA.4.7,6.25927209854126,1650
BA.5,3.730870008468628,18460
BA.5.1,2.1709656715393066,210986
BA.5.1.1,0.3940127491950989,12737
BA.5.1.10,6.23154878616333,11897
BA.5.1.11,-2.2111520767211914,553
BA.5.1.12,14.023918151855469,2601
BA.5.1.15,1.5208781957626343,2110
BA.5.1.16,-6.488525390625,1595
BA.5.1.17,1.20316481590271,1814
BA.5.1.18,15.801665306091309,2237
BA.5.1.19,5.919764518737793,609
BA.5.1.2,4.197439670562744,7605
BA.5.1.20,8.993026733398438,222
BA.5.1.21,3.2431139945983887,1241
BA.5.1.22,2.3831331729888916,16817
BA.5.1.23,2.8050453662872314,15075
BA.5.1.24,1.2270922660827637,6805
